id,hadith,hukm,rawi,source,page,takhrij,categories
13,- نحنُ السَّابقونَ يومَ القيامةِ بَيْدَ أنَّهم أوتوا الكتابَ مِن قبلِنا وأوتيناه مِن بعدِهم فهذا يومُهم الَّذي فُرِض عليهم فاختَلفوا فيه فهدانا اللهُ له فهم لنا فيه تَبَعٌ اليهودُ غدًا والنَّصارى بعدَ غدٍ,أخرجه في صحيحه,أبو هريرة,صحيح ابن حبان,2784,أخرجه البخاري (876)، ومسلم (855) باختلاف يسير,جمعة - فضل الجمعة|آداب عامة - فضل بعض الأيام والليالي والشهور|إيمان - أهل الكتاب وما يتعلق بهم|فتن - كراهية الاختلاف|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
14,- إنَّ للهِ حقًّا على كلِّ مسلمٍ أنْ يغتسِلَ كلَّ سبعةِ أيَّامٍ يومًا فإنْ كان له طِيبٌ مسَّه,أخرجه في صحيحه,عبدالله بن عمر,صحيح ابن حبان,1232,أخرجه البزار (5639)، وأبو عوانة في ((المستخرج)) (2602)، والطبراني في ((مسند الشاميين)) (1536) باختلاف يسير,جمعة - آداب من حضر الجمعة|جمعة - الطيب للجمعة|زينة - استحباب الطيب|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة
15,- حَقٌّ على كلِّ مسلمٍ أن يغتسلَ كلَّ سَبْعَةِ أيامٍ، وأن يَمَسَّ طِيبًا إن وجده .,إسناده صحيح على شرط مسلم,أبو هريرة,صحيح ابن خزيمة,1761,أخرجه البخاري (897)، ومسلم (849) في أثناء حديث، وابن خزيمة (1761) واللفظ له,جمعة - آداب من حضر الجمعة|جمعة - الطيب للجمعة|زينة اللباس - اللباس الحسن و النظافة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة
16,- على كلِّ مسلمٍ في كلِّ سبعةِ أيَّامٍ غُسْلٌ وهو يومَ الجمعةِ,أخرجه في صحيحه,جابر بن عبدالله,صحيح ابن حبان,1219,أخرجه النسائي (1378)، وأحمد بن علي المروزي في ((الجمعة وفضلها)) (24) باختلاف يسير، وأحمد (14266) بنحوه.,جمعة - آداب من حضر الجمعة|غسل - غسل الجمعة|آداب عامة - فضل بعض الأيام والليالي والشهور|رقائق وزهد - الوصايا النافعة|غسل - الأغسال الواجبة والمسنونة
17,- حقٌّ على كلِّ مسلمٍ أنْ يغتسِلَ كلَّ سبعةٍ أيَّامٍ وأنْ يمَسَّ طِيبًا إنْ وجَده,أخرجه في صحيحه,أبو هريرة,صحيح ابن حبان,1234,,جمعة - الطيب للجمعة|زينة - استحباب الطيب|غسل - غسل الجمعة|طهارة - الاكتحال والادهان والتطيب|غسل - الأغسال الواجبة والمسنونة
18,-  حَقٌّ للهِ على كُلِّ مسلِمٍ أن يَغتسِلَ في كُلِّ سَبْعَةِ أيَّامٍ يَومًا ؛ يَغسِلُ فيهِ رَأْسَه وجَسَدَهُ,صحيح,أبو هريرة,صحيح الجامع,3154,أخرجه البخاري (897)، ومسلم (849) باختلاف يسير.,جمعة - آداب من حضر الجمعة|زينة اللباس - اللباس الحسن و النظافة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة|غسل - صفة الغسل للحي وللميت
19,- لِلَّهِ تَعالَى علَى كُلِّ مُسْلِمٍ حَقٌّ، أنْ يَغْتَسِلَ في كُلِّ سَبْعَةِ أيَّامٍ يَوْمًا.,[صحيح],أبو هريرة,صحيح البخاري,898,أخرجه البخاري (898) واللفظ له، ومسلم (849),غسل - غسل الجمعة|غسل - فضل الاغتسال|غسل - موجبات الغسل|غسل - الأغسال الواجبة والمسنونة
20,-  نحن الآخِرُونَ السَّابِقُونَ يَومَ القِيامَةِ ، بَيْدَ أنَّهُمْ أُوتُوا الكِتابَ من قَبلِنا ، وأُوتِينا من بَعدِهِمْ ، ثُمَّ هذا يَومُهُمْ الذي فَرَضَ اللهُ علَيهِمْ ، فاخْتَلَفُوا فيه ، فَهَدَانا اللهُ لهُ ، فالنَّاسُ لنا فيه تَبَعٌ ، اليهودُ غَدًا ، و النَّصارَى بعدَ غَدٍ,صحيح,أبو هريرة,صحيح الجامع,6752,أخرجه البخاري (896)، ومسلم (855) باختلاف يسير.,جمعة - فضل يوم الجمعة|آداب عامة - فضل بعض الأيام والليالي والشهور|جنة - أول من يدخل الجنة|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
21,-  على كُلِّ رجلٍ مسلِمٍ في كُلِّ سبْعَةِ أيَّامٍ غسلُ يومٍ ، وهوَ يومُ الجمعَةِ,صحيح,جابر بن عبدالله,صحيح الجامع,4034,أخرجه النسائي (1378) واللفظ له، وأحمد (14266),زينة اللباس - اللباس الحسن و النظافة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة
22,- أنَّهُ سَمِعَ أبَا هُرَيْرَةَ، أنَّه سَمِعَ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ يقولُ: نَحْنُ الآخِرُونَ السَّابِقُونَ.,[صحيح],أبو هريرة,صحيح البخاري,238,أخرجه مسلم (855) باختلاف يسير,مناقب وفضائل - فيمن يرجى خيره وخير الناس وشرارهم|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
23,-  إنَّ للهِ حقًّا على كلِّ مسلمٍ أن يغتسلَ كلَّ سبعةِ أيامٍ يومًا ، فإن كان له طِيبٌ مسَّهُ,صحيح,عبدالله بن عمر,صحيح الموارد,463,أخرجه البزار (5639)، وابن حبان (1232) واللفظ له، والطبراني في ((مسند الشاميين)) (1536),جمعة - آداب من حضر الجمعة|جمعة - الطيب للجمعة|غسل - غسل الجمعة|غسل - فضل الاغتسال|غسل - الأغسال الواجبة والمسنونة
24,-  نَحْنُ الآخِرُونَ السَّابِقُونَ يَومَ القِيَامَةِ، بَيْدَ أنَّهُمْ أُوتُوا الكِتَابَ مِن قَبْلِنَا، ثُمَّ هذا يَوْمُهُمُ الذي فُرِضَ عليهم، فَاخْتَلَفُوا فِيهِ، فَهَدَانَا اللَّهُ، فَالنَّاسُ لَنَا فيه تَبَعٌ اليَهُودُ غَدًا، والنَّصَارَى بَعْدَ غَدٍ.,[صحيح],أبو هريرة,صحيح البخاري,876,أخرجه البخاري (876)، ومسلم (855),إسلام - فضل الإسلام|جمعة - فضل يوم الجمعة|إيمان - اليوم الآخر|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
25,- حَقٌّ لِلَّهِ علَى كُلِّ مُسْلِمٍ أنْ يَغْتَسِلَ في كُلِّ سَبْعَةِ أيَّامٍ، يَغْسِلُ رَأْسَهُ وجَسَدَهُ.,[صحيح],أبو هريرة,صحيح مسلم,849,أخرجه البخاري (897)، ومسلم (849).,جمعة - آداب من حضر الجمعة|زينة اللباس - اللباس الحسن و النظافة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة|غسل - صفة الغسل للحي وللميت
26,- نَحْنُ الآخِرُونَ الأوَّلُونَ يَومَ القِيامَةِ، ونَحْنُ أوَّلُ مَن يَدْخُلُ الجَنَّةَ، بَيْدَ أنَّهُمْ أُوتُوا الكِتابَ مِن قَبْلِنا، وأُوتِيناهُ مِن بَعْدِهِمْ، فاخْتَلَفُوا، فَهَدانا اللَّهُ لِما اخْتَلَفُوا فيه مِنَ الحَقِّ، فَهذا يَوْمُهُمُ الذي اخْتَلَفُوا فِيهِ، هَدانا اللَّهُ له، قالَ: يَوْمُ الجُمُعَةِ، فالْيَومَ لَنا، وغَدًا لِلْيَهُودِ، وبَعْدَ غَدٍ لِلنَّصارَى.,[صحيح],أبو هريرة,صحيح مسلم,855,أخرجه البخاري (876)، ومسلم (855).,جمعة - فضل يوم الجمعة|آداب عامة - فضل بعض الأيام والليالي والشهور|جنة - أول من يدخل الجنة|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
27,- نَحْنُ الآخِرُونَ السَّابِقُونَ يَومَ القِيامَةِ، بَيْدَ أنَّهُمْ أُوتُوا الكِتابَ مِن قَبْلِنا، وأُوتِيناهُ مِن بَعْدِهِمْ، وهذا يَوْمُهُمُ الذي فُرِضَ عليهم فاخْتَلَفُوا فِيهِ، فَهَدانا اللَّهُ له، فَهُمْ لنا فيه تَبَعٌ، فالْيَهُودُ غَدًا، والنَّصارَى بَعْدَ غَدٍ.,[صحيح],أبو هريرة,صحيح مسلم,855,أخرجه البخاري (876)، ومسلم (855).,إسلام - فضل الإسلام|جمعة - فضل يوم الجمعة|إيمان - أهل الكتاب وما يتعلق بهم|إيمان - اليوم الآخر|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
28,-  نَحْنُ الآخِرُونَ، ونَحْنُ السَّابِقُونَ يَومَ القِيامَةِ، بَيْدَ أنَّ كُلَّ أُمَّةٍ أُوتِيَتِ الكِتابَ مِن قَبْلِنا، وأُوتِيناهُ مِن بَعْدِهِمْ، ثُمَّ هذا اليَوْمُ الذي كَتَبَهُ اللَّهُ عَلَيْنا، هَدانا اللَّهُ له، فالنَّاسُ لنا فيه تَبَعٌ، اليَهُودُ غَدًا، والنَّصارَى بَعْدَ غَدٍ. [وفي رواية]: نَحْنُ الآخِرُونَ، ونَحْنُ السَّابِقُونَ يَومَ القِيامَةِ، بمِثْلِهِ.,[صحيح],أبو هريرة,صحيح مسلم,855,أخرجه البخاري (876)، ومسلم (855).,إسلام - فضل الإسلام|جمعة - فضل يوم الجمعة|إيمان - اليوم الآخر|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
29,- أنَّهُ، سَمِعَ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، يقولُ: نَحْنُ الآخِرُونَ السَّابِقُونَ.,[صحيح],أبو هريرة,صحيح البخاري,2956,أخرجه مسلم (855) مطولاً باختلاف يسير,مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
30,"- نَحْنُ الآخِرُونَ السَّابِقُونَ، يَومَ القِيامَةِ بَيْدَ كُلِّ أُمَّةٍ أُوتُوا الكِتابَ مِن قَبْلِنا، وأُوتِينا مِن بَعْدِهِمْ، فَهذا اليَوْمُ الذي اخْتَلَفُوا فِيهِ، فَغَدًا لِلْيَهُودِ، وبَعْدَ غَدٍ لِلنَّصارَى. علَى كُلِّ مُسْلِمٍ في كُلِّ سَبْعَةِ أيَّامٍ، يَوْمٌ يَغْسِلُ رَأْسَهُ وجَسَدَهُ.",[صحيح],أبو هريرة,صحيح البخاري,3486,أخرجه البخاري (3486)، ومسلم (855),جمعة - فضل يوم الجمعة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
31,- على كلِّ رجُلٍ مسلِمٍ في كلِّ سبعةِ أيَّامٍ غُسلُ يومٍ ، وَهوَ يومُ الجمُعةِ,صحيح [لغيره],جابر بن عبدالله,صحيح النسائي,1377,أخرجه النسائي (1378) واللفظ له، وأحمد (14266),زينة اللباس - اللباس الحسن و النظافة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة
32,- نحنُ الآخِرونَ السَّابقونَ ، بيدَ أنَّهم أُوتوا الكتابَ مِن قبلِنا ، وأوتيناهُ مِن بعدِهم وَهذا اليومُ الَّذي كتبَ اللَّهُ عزَّ وجلَّ عليهم فاختلفوا فيهِ فَهدانا اللَّهُ عزَّ وجلَّ لَه ـ يعني يومَ الجمعةِ ـ فالنَّاسُ لنا فيهِ تبعٌ اليَهودُ غدًا والنَّصارى بعدَ غدٍ,صحيح,أبو هريرة,صحيح النسائي,1366,أخرجه البخاري (896)، ومسلم (855)، والنسائي (1367) واللفظ له، وأحمد (7707),جمعة - فضل يوم الجمعة|رقائق وزهد - فضل بعض الأيام|آداب عامة - فضل بعض الأيام والليالي والشهور|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
33,- عَنْ أنَسِ بنِ مالِكٍ، قالَ: كُنَّا نُبَكِّرُ بالجُمُعَةِ ونَقِيلُ بَعْدَ الجُمُعَةِ.,[صحيح],أنس بن مالك,صحيح البخاري,905,أخرجه ابن ماجه (1102)، وأحمد (13489)، وابن خزيمة (1877) جميعهم باختلاف يسير.,آداب النوم - ما جاء في القيلولة|جمعة - القائلة بعد الجمعة|صلاة - مواقيت الصلاة|جمعة - وقت الجمعة
34,- سَمِعْتُ أنَسًا، يقولُ: كُنَّا نُبَكِّرُ إلى الجُمُعَةِ، ثُمَّ نَقِيلُ.,[صحيح],أنس بن مالك,صحيح البخاري,940,أخرجه ابن خزيمة (1841)، وأبوطاهر المخلصي في ((المخلصيات)) (109)، والبيهقي (6014) جميعا بلفظه .,آداب النوم - ما جاء في القيلولة|تبكير - ما جاء في التبكير|جمعة - القائلة بعد الجمعة|جمعة - فضل التبكير إلى المسجد يوم الجمعة|جمعة - وقت الجمعة
35,- كنَّا نُصلِّي مع رسولِ اللهِ صلَّى اللهُ عليه وسلَّم الجمعةَ ثمَّ نرجِعُ فنَقِيلُ,أخرجه في صحيحه,أنس بن مالك,صحيح ابن حبان,2809,أخرجه أحمد (13489) واللفظ له، والبخاري (905)، وابن ماجه (1102) باختلاف يسير.,جمعة - فضل الجمعة|جمعة - القائلة بعد الجمعة|صلاة - مواقيت الصلاة|جمعة - وقت الجمعة
36,- كنَّا نَقِيلُ بعدَ الجمعةِ.,أخرجه في صحيحه,أنس بن مالك,صحيح ابن حبان,2810,أخرجه البخاري (905)، وابن ماجه (1102)، وأحمد (13489) واللفظ لهم جميعا.,جمعة - فضل الجمعة|جمعة - القائلة بعد الجمعة
37,- عَنْ سَهْلِ بنِ سَعْدٍ، قَالَ: كُنَّا نَقِيلُ ونَتَغَدَّى بَعْدَ الجُمُعَةِ.,[صحيح],سلمة بن دينار المدني أبو حازم,صحيح البخاري,6279,أخرجه أبو داود (1086) بلفظه، وأخرجه مسلم (859)والترمذي (525) باختلاف يسير.,أطعمة - الاجتماع على الطعام|جمعة - فضل يوم الجمعة|جمعة - القائلة بعد الجمعة|رقائق وزهد - فضل بعض الأيام|جمعة - وقت الجمعة
38,- دَخَلَ عبدُ الرَّحْمَنِ بنُ أبِي بَكْرٍ ومعهُ سِواكٌ يَسْتَنُّ به، فَنَظَرَ إلَيْهِ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، فَقُلتُ له: أعْطِنِي هذا السِّواكَ يا عَبْدَ الرَّحْمَنِ، فأعْطانِيهِ، فَقَصَمْتُهُ، ثُمَّ مَضَغْتُهُ فأعْطَيْتُهُ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، فاسْتَنَّ به وهو مُسْتَسْنِدٌ إلى صَدْرِي.,[صحيح],عائشة أم المؤمنين,صحيح البخاري,890,أخرجه البخاري (890)، ومسلم (2443),طهارة - التسوك بسواك الغير|طهارة - السواك|فضائل النبي وصفته ودلائل النبوة - مرض النبي وموته|مناقب وفضائل - عائشة بنت أبي بكر الصديق
